image_name	condition	sister_chromatid_peak_to_peak_distance	radial_displacement	figure_panel
Scc1_EdU_Hoechst_220207_5389_WT_c2_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-79-87.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5404242424242424	-0.1022424242424241	fig3a, d, e
Scc1_EdU_Hoechst_220207_5389_WT_c2_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-79-87.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6134545454545455	-0.0876363636363636	fig3a, d, e
Scc1_EdU_Hoechst_220207_5389_WT_c2_rep2_prophase_axes_60min_stlc_hemi_zoom5-01-79-87.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.7595151515151515	0.146060606060606	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-04-141-142.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5355959595959596	-0.0669494949494949	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-04-141-142.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4806060606060606	-0.0961212121212121	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-04-141-142.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6494545454545454	0.0512727272727273	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-04-141-142.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5981818181818181	-0.0	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep1_hemi_stain_smc4_cycb1_zoom4_8-04-141-142.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4787070707070707	-0.0448787878787878	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep3_hemi_stain_smc4_cycb1_zoom4_8-04-160.czi #1.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.5448484848484849	-0.0544848484848484	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep3_hemi_stain_smc4_cycb1_zoom4_8-04-160.czi #1.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6553535353535355	0.0655353535353535	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep3_hemi_stain_smc4_cycb1_zoom4_8-04-160.czi #1.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.47	-0.1723333333333332	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep3_hemi_stain_smc4_cycb1_zoom4_8-04-160.czi #1.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4188686868686869	-0.1047171717171717	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep3_hemi_stain_smc4_cycb1_zoom4_8-04-160.czi #1.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.4535555555555556	-0.1918888888888889	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep3_hemi_stain_smc4_cycb1_zoom4_8-04-160.czi #1.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.564	-0.0341818181818182	fig3a, d, e
Scc1_EdU_Hoechst_220405_wt_prophase_rep3_hemi_stain_smc4_cycb1_zoom4_8-04-160.czi #1.tif_registered.tif	wt_late_prophase_one_sister_labelled	0.6423333333333332	-0.0	fig3a, d, e
